"cmp1","cmp2","param1","param2","n_jobs","mean1","mean2","p_wilcoxon","p_ttest","significant_wilcoxon","significant_ttest","better","agreement"
"transpose","insert","random","first",50,4.096,281.179,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","first",100,25.428,5701.717,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","first",200,243.295,122218.084,3.33083704454066e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","best",50,4.196,178.227,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","best",100,25.184,2714.232,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","best",200,222.106,42327.715,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","first",50,7.578,94.924,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","first",100,47.451,1949.582,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","first",200,366.436,30966.071,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","best",50,7.738,82.787,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","best",100,48.207,1168.46,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","best",200,367.237,16386.403,3.33085578663341e-165,0,TRUE,TRUE,"transpose",TRUE
"exchange","insert","random","first",50,132.567,281.179,3.33085016399472e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","first",100,2563.38,5701.717,3.33085391241946e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","first",200,61996.319,122218.084,3.33083517033725e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","best",50,80.158,178.227,3.33085578663341e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","best",100,1258.187,2714.232,3.33085578663341e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","best",200,20893.002,42327.715,3.33085391241946e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","first",50,33.322,94.924,5.70008743352133e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","first",100,773.893,1949.582,3.33085391241946e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","first",200,16770.441,30966.071,6.62146955944827e-149,9.97830610339571e-277,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","best",50,31.519,82.787,3.33085203820656e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","best",100,508.617,1168.46,3.33085578663341e-165,0,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","best",200,6805.574,16386.403,3.33085391241946e-165,0,TRUE,TRUE,"exchange",TRUE
